Project name,Alternate name,Country,River,Latitude,Longitude,Function,Status,COD Year,Installed capacity MW,Mean annual energy GW,Max. Irrigation Area km2,Height M,Crest length M,Total storage (FSL) Million m3,Max reservoir area km2,No. displaced People,Est. cost Mil. US$
Jinfeng,,CHN,Nan La He,21.592026,101.225135,HPD,COMM,1998-01-01T00:00:00Z,16,64.3,,45,,19.48,,126,18.252
Jinhe,,CHN,Jin He,30.806181,97.332926,HPD,COMM,2004-01-01T00:00:00Z,60,367,,34,68.4,4.27,,,74.8
Kagong,,CHN,Mekong,30.622567,97.444417,HPD,PLAN,,240,1263.9,,97,237,81.44,,,806
Laoyinyan,,CHN,Gua Lan Zi He/Shun Dian He,24.469128,99.81754,HPD,COMM,1997-01-01T00:00:00Z,16,,,4.23,,1092,,,
Lidi,,CHN,Mekong,27.848016,99.030555,HPD,UCON,2019-01-01T00:00:00Z,420,1753,,75,346.4,75,3.7,575,830
Lin Chang,,CHN,Mekong,31.1804,97.1852,HPD,PLAN,,72,362,,38,,9,,69,
Longdi,,CHN,Misha,26.221361,99.723653,HPD,COMM,,10,,,,,,,,
Longqingxia,,CHN,Mekong,32.884167,95.350283,HPD,COMM,,2.5,18,,,,,,,10
Luozhahe 1,,CHN,Luo Zha He,24.505207,100.451749,HPD,UCON,2016-01-01T00:00:00Z,30,135,,59,,14.33,,,39.5
Luozhahe 2,,CHN,Luo Zha He,24.486867,100.402128,HPD,UCON,2017-01-01T00:00:00Z,50,225,,71,,3391,,,50.8
Manwan,,CHN,Mekong,24.622086,100.448544,HPD,COMM,1992-01-01T00:00:00Z,"1,670.00",6710,,136,418,920,415,"7,260",405
Mengsong,,CHN,Mekong,21.780267,101.147367,HPD,CANL,,600,2417,,65,,,230,230,
Miaowei,,CHN,Mekong,25.854121,99.163155,HPD,COMM,2016-01-01T00:00:00Z,"1,400.00",5999,,139.8,,660,,"11,036",
Nan Rong Tian,,CHN,Luo Zha He,24.397738,99.882159,HPD,COMM,2015-01-01T00:00:00Z,8,42.2,,10.87,39,,,,4.9
Nandeng,,CHN,Mengku,23.704103,99.889485,MPD,COMM,2010-01-01T00:00:00Z,6.4,89,58,89,280,51.49,,,4.9
Nanhe 1,,CHN,Luo Zha He,24.342442,100.012183,HPD,COMM,2009-01-01T00:00:00Z,40,170.27,,56.8,147.9,11.36,,,48.4
Nanhe 2,,CHN,Luo Zha He,24.377086,100.050098,HPD,COMM,,25,100,,,,,,,
Nuozadu,,CHN,Mekong,22.642128,100.436336,HPD,COMM,2014-01-01T00:00:00Z,"5,850.00",23912,,261.5,608,23703,320,"43,602","3,681"
Quzika,,CHN,Mekong,30.039854,97.889503,HPD,PROP,,,,,,,,,,
Ru Mei,,CHN,Mekong,29.649933,98.3477,HPD,PLAN,,"2,100.00",10582,,315,724,3602,,,"6,297"
Ruyi,,CHN,Zha Qu,31.221,97.175,HPD,PLAN,,114,562,,,,221,,146,
Shā Tuó,,CHN,Yang Bi Jiang,25.563982,100.030442,HPD,COMM,,4,,,,,,,,
Tuoba,,CHN,Mekong,27.180664,99.148995,HPD,PLAN,2023-01-01T00:00:00Z,"1,400.00",6360,,140,396,1039,,"5,951","2,266"
Wanpahe Erji,,CHN,Wanpa,25.411382,99.214444,HPD,COMM,,5,23.595,,,,,,,
Wunonglong,,CHN,Mekong,27.932554,98.9333,HPD,UCON,2018-01-01T00:00:00Z,990,4116,,137.5,247,284,,"1,268","1,139"
Xi'er He 1,,CHN,Xi'er He,25.578801,100.202419,HPD,COMM,1979-01-01T00:00:00Z,105,440,,,,,,,
Xi'er He 2,,CHN,Xi'er He,25.561991,100.131191,HPD,COMM,1987-01-01T00:00:00Z,50,,,37.25,121.8,0.2,,,
Xi'er He 3,,CHN,Xi'er He,25.558584,100.107878,HPD,COMM,1988-01-01T00:00:00Z,50,223,,20.7,,,,,
Xi'er He 4,,CHN,Xi'er He,25.576262,100.065574,HPD,COMM,1971-01-01T00:00:00Z,50,,,,,14,,,
Xiangda,,CHN,Zha Qu,31.479415,97.196735,HPD,COMM,2007-01-01T00:00:00Z,0.8,,,,,,,,
Xiangshui,,CHN,Jing Gu He,23.773469,100.625754,ID,COMM,1989-01-01T00:00:00Z,,,25,54,53,56.7,,690,2.3
Xiaowan,,CHN,Mekong,24.704222,100.091255,HPD,COMM,2010-01-01T00:00:00Z,"4,200.00",18990,,294.5,892.8,14560,194,"38,646","4,218"
Ximahe,,CHN,XiMa He,22.784502,100.983432,ID,COMM,1956-01-01T00:00:00Z,,,,,,420,9.49,,
XunCun,,CHN,Hei Hui Jiang,25.421835,99.993301,HPD,COMM,1999-01-01T00:00:00Z,78,345,,67,165,73.74,,400,91
Yue Long,,CHN,Mekong,30.868008,97.347124,HPD,PLAN,,129,644,,60.7,377,,,,502
Unknown 1,,CHN,,25.495296,100.330923,ID,COMM,,,,,,,,0.57,,
Unknown 2,,CHN,,26.553446,99.148995,ID,COMM,,,,,,,,,,
Unknown 3,,CHN,,25.294355,99.287231,WSD,COMM,,,,,,,,<0.5,,
Unknown 4,,CHN,,23.871022,100.913808,WSD,COMM,,,,,,,,,,
Unknown 5,,CHN,,23.582463,99.416074,ID,COMM,,,,,,,,,,
Unknown 6,,CHN,,23.562033,99.480032,ID,COMM,,,,,,,,,,
Unknown 7,,CHN,,23.502594,99.993115,ID,COMM,,,,,,,,,,
Unknown 8,,CHN,,23.385008,99.945174,ID,COMM,,,,,,,,,,
Unknown 9,,CHN,,23.407361,99.922658,ID,COMM,,,,,,,,,,
Unknown 10,,CHN,,23.335674,100.322036,ID,COMM,,,,,,,,,,
Unknown 11,,CHN,,23.321837,100.407463,ID,COMM,,,,,,,,,,
Unknown 12,,CHN,,23.132697,99.233117,WSD,COMM,,,,,,,,,,
Unknown 13,,CHN,,22.904757,99.912104,HPD,COMM,,,,,,,,,,
Unknown 14,,CHN,,22.929669,99.917831,HPD,COMM,,,,,,,,,,
Unknown 15,,CHN,,22.754073,100.984072,WSD,COMM,,,,,,,,,,
Unknown 16,,CHN,,22.722981,100.956571,WSD,COMM,,,,,,,,,,
Unknown 17,,CHN,,22.75766,101.062778,ID,COMM,,,,,,,,,,
